	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03332
60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01992
61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02495
62	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01238
63	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03839
64	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01646
65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03457
66	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01764
67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02029
68	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01615
69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	04104
70	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03914
71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03997
